testname,percentage,nodes,policy,min_support,time,rule_score,tree_score,winner
LUAD o LUSC,0.05,1000000,bfs,0.4,0.033,0.7,0.714,0
LUAD o LUSC,0.05,1000000,bfs,0.4,0.034,0.657,0.714,0
LUAD o LUSC,0.05,1000000,bfs,0.4,0.033,0.643,0.7,0
LUAD o LUSC,0.05,10000000,objective,0.01,31.639,0.643,0.643,2
LUAD o LUSC,0.05,10000000,objective,0.01,181.36,0.671,0.686,0
LUAD o LUSC,0.05,10000000,objective,0.01,40.412,0.729,0.6,1
LUAD o LUSC,0.05,10000000,objective,0.1,81.534,0.686,0.614,1
LUAD o LUSC,0.05,10000000,objective,0.1,78.748,0.743,0.686,1
LUAD o LUSC,0.05,10000000,objective,0.1,121.064,0.686,0.571,1
LUAD o LUSC,0.05,10000000,objective,0.3,103.052,0.643,0.643,2
LUAD o LUSC,0.05,10000000,objective,0.3,69.998,0.671,0.629,1
LUAD o LUSC,0.05,10000000,objective,0.3,97.109,0.714,0.7,1
LUAD o LUSC,0.05,10000000,objective,0.4,0.033,0.586,0.686,0
LUAD o LUSC,0.05,10000000,objective,0.4,0.033,0.629,0.657,0
LUAD o LUSC,0.05,10000000,objective,0.4,0.034,0.671,0.7,0
LUAD o LUSC,0.05,10000000,lower_bound,0.01,36.217,0.657,0.629,1
LUAD o LUSC,0.05,10000000,lower_bound,0.01,37.641,0.714,0.686,1
LUAD o LUSC,0.05,10000000,lower_bound,0.01,36.194,0.657,0.7,0
LUAD o LUSC,0.05,10000000,lower_bound,0.1,57.132,0.629,0.686,0
LUAD o LUSC,0.05,10000000,lower_bound,0.1,59.777,0.657,0.657,2
LUAD o LUSC,0.05,10000000,lower_bound,0.1,58.753,0.7,0.686,1
LUAD o LUSC,0.05,10000000,lower_bound,0.3,40.732,0.714,0.571,1
LUAD o LUSC,0.05,10000000,lower_bound,0.3,67.695,0.657,0.771,0
LUAD o LUSC,0.05,10000000,lower_bound,0.3,45.771,0.643,0.629,1
LUAD o LUSC,0.05,10000000,lower_bound,0.4,15.188,0.671,0.6,1
LUAD o LUSC,0.05,10000000,lower_bound,0.4,0.033,0.757,0.686,1
LUAD o LUSC,0.05,10000000,lower_bound,0.4,0.034,0.657,0.686,0
LUAD o LUSC,0.05,10000000,curious,0.01,38.086,0.7,0.643,1
LUAD o LUSC,0.05,10000000,curious,0.01,39.751,0.714,0.643,1
LUAD o LUSC,0.05,10000000,curious,0.01,44.301,0.786,0.614,1
LUAD o LUSC,0.05,10000000,curious,0.1,65.292,0.771,0.657,1
LUAD o LUSC,0.05,10000000,curious,0.1,70.491,0.771,0.714,1
LUAD o LUSC,0.05,10000000,curious,0.1,86.3,0.671,0.714,0
LUAD o LUSC,0.05,10000000,curious,0.3,49.671,0.686,0.629,1
LUAD o LUSC,0.05,10000000,curious,0.3,43.589,0.657,0.657,2
LUAD o LUSC,0.05,10000000,curious,0.3,58.476,0.7,0.614,1
LUAD o LUSC,0.05,10000000,curious,0.4,0.035,0.671,0.7,0
LUAD o LUSC,0.05,10000000,curious,0.4,0.034,0.757,0.657,1
LUAD o LUSC,0.05,10000000,curious,0.4,0.033,0.743,0.486,1
LUAD o LUSC,0.05,10000000,bfs,0.01,59.102,0.7,0.471,1
LUAD o LUSC,0.05,10000000,bfs,0.01,85.608,0.686,0.757,0
LUAD o LUSC,0.05,10000000,bfs,0.01,123.907,0.771,0.629,1
LUAD o LUSC,0.05,10000000,bfs,0.1,205.696,0.743,0.629,1
LUAD o LUSC,0.05,10000000,bfs,0.1,235.02,0.714,0.6,1
LUAD o LUSC,0.05,10000000,bfs,0.1,286.208,0.671,0.729,0
LUAD o LUSC,0.05,10000000,bfs,0.3,170.556,0.743,0.557,1
LUAD o LUSC,0.05,10000000,bfs,0.3,70.573,0.643,0.7,0
LUAD o LUSC,0.05,10000000,bfs,0.3,221.113,0.729,0.657,1
LUAD o LUSC,0.05,10000000,bfs,0.4,0.037,0.657,0.614,1
LUAD o LUSC,0.05,10000000,bfs,0.4,0.036,0.7,0.714,0
LUAD o LUSC,0.05,10000000,bfs,0.4,0.034,0.7,0.629,1
OV o COADREAD,0.01,10000,objective,0.01,10.183,0.902,0.873,1
OV o COADREAD,0.01,10000,objective,0.01,9.653,0.931,0.882,1
OV o COADREAD,0.01,10000,objective,0.01,9.992,0.931,0.931,2
OV o COADREAD,0.01,10000,objective,0.1,4.863,0.931,0.794,1
OV o COADREAD,0.01,10000,objective,0.1,0.326,0.922,0.882,1
OV o COADREAD,0.01,10000,objective,0.1,5.199,0.941,0.853,1
OV o COADREAD,0.01,10000,objective,0.3,2.192,0.961,0.843,1
OV o COADREAD,0.01,10000,objective,0.3,0.889,0.922,0.853,1
OV o COADREAD,0.01,10000,objective,0.3,1.926,0.941,0.902,1
OV o COADREAD,0.01,10000,objective,0.4,0.257,0.422,0.833,0
OV o COADREAD,0.01,10000,objective,0.4,0.253,0.294,0.853,0
OV o COADREAD,0.01,10000,objective,0.4,0.254,0.402,0.863,0
OV o COADREAD,0.01,10000,lower_bound,0.01,10.854,0.902,0.863,1
OV o COADREAD,0.01,10000,lower_bound,0.01,10.467,0.843,0.853,0
OV o COADREAD,0.01,10000,lower_bound,0.01,10.485,0.853,0.843,1
OV o COADREAD,0.01,10000,lower_bound,0.1,0.312,0.971,0.873,1
OV o COADREAD,0.01,10000,lower_bound,0.1,0.32,0.892,0.892,2
OV o COADREAD,0.01,10000,lower_bound,0.1,0.313,0.931,0.843,1
OV o COADREAD,0.01,10000,lower_bound,0.3,0.299,0.961,0.892,1
OV o COADREAD,0.01,10000,lower_bound,0.3,0.304,0.941,0.873,1
OV o COADREAD,0.01,10000,lower_bound,0.3,0.3,0.961,0.853,1
OV o COADREAD,0.01,10000,lower_bound,0.4,0.255,0.343,0.892,0
OV o COADREAD,0.01,10000,lower_bound,0.4,0.259,0.333,0.882,0
OV o COADREAD,0.01,10000,lower_bound,0.4,0.255,0.422,0.882,0
OV o COADREAD,0.01,10000,curious,0.01,10.724,0.902,0.833,1
OV o COADREAD,0.01,10000,curious,0.01,11.008,0.902,0.892,1
OV o COADREAD,0.01,10000,curious,0.01,11.553,0.922,0.784,1
OV o COADREAD,0.01,10000,curious,0.1,0.314,0.941,0.922,1
OV o COADREAD,0.01,10000,curious,0.1,0.315,0.971,0.843,1
OV o COADREAD,0.01,10000,curious,0.1,0.321,0.922,0.853,1
OV o COADREAD,0.01,10000,curious,0.3,0.318,0.951,0.873,1
OV o COADREAD,0.01,10000,curious,0.3,0.323,0.941,0.882,1
OV o COADREAD,0.01,10000,curious,0.3,0.343,0.941,0.755,1
OV o COADREAD,0.01,10000,curious,0.4,0.254,0.392,0.882,0
OV o COADREAD,0.01,10000,curious,0.4,0.254,0.373,0.833,0
OV o COADREAD,0.01,10000,curious,0.4,0.253,0.314,0.833,0
OV o COADREAD,0.01,10000,bfs,0.01,11.599,0.961,0.853,1
OV o COADREAD,0.01,10000,bfs,0.01,12.123,0.931,0.892,1
OV o COADREAD,0.01,10000,bfs,0.01,12.474,0.922,0.843,1
OV o COADREAD,0.01,10000,bfs,0.1,0.324,0.951,0.824,1
OV o COADREAD,0.01,10000,bfs,0.1,0.318,0.902,0.873,1
OV o COADREAD,0.01,10000,bfs,0.1,0.322,0.941,0.873,1
OV o COADREAD,0.01,10000,bfs,0.3,0.987,0.961,0.902,1
OV o COADREAD,0.01,10000,bfs,0.3,0.299,0.931,0.863,1
OV o COADREAD,0.01,10000,bfs,0.3,0.297,0.951,0.941,1
OV o COADREAD,0.01,10000,bfs,0.4,0.255,0.333,0.824,0
OV o COADREAD,0.01,10000,bfs,0.4,0.256,0.422,0.873,0
OV o COADREAD,0.01,10000,bfs,0.4,0.255,0.363,0.833,0
OV o COADREAD,0.01,100000,objective,0.01,13.762,0.951,0.873,1
OV o COADREAD,0.01,100000,objective,0.01,13.658,0.971,0.833,1
OV o COADREAD,0.01,100000,objective,0.01,14.507,0.922,0.863,1
OV o COADREAD,0.01,100000,objective,0.1,0.65,0.99,0.863,1
OV o COADREAD,0.01,100000,objective,0.1,0.676,0.912,0.843,1
OV o COADREAD,0.01,100000,objective,0.1,5.929,0.961,0.843,1
OV o COADREAD,0.01,100000,objective,0.3,0.283,0.951,0.843,1
OV o COADREAD,0.01,100000,objective,0.3,132.497,0.941,0.853,1
OV o COADREAD,0.01,100000,objective,0.3,119.759,0.922,0.853,1
OV o COADREAD,0.01,100000,objective,0.4,0.253,0.441,0.843,0
OV o COADREAD,0.01,100000,objective,0.4,0.255,0.382,0.873,0
OV o COADREAD,0.01,100000,objective,0.4,0.252,0.373,0.882,0
OV o COADREAD,0.01,100000,lower_bound,0.01,14.209,0.941,0.902,1
OV o COADREAD,0.01,100000,lower_bound,0.01,14.311,0.863,0.863,2
OV o COADREAD,0.01,100000,lower_bound,0.01,14.794,0.892,0.892,2
OV o COADREAD,0.01,100000,lower_bound,0.1,0.614,0.941,0.882,1
OV o COADREAD,0.01,100000,lower_bound,0.1,0.648,0.951,0.912,1
OV o COADREAD,0.01,100000,lower_bound,0.1,0.613,0.941,0.902,1
OV o COADREAD,0.01,100000,lower_bound,0.3,0.636,0.951,0.873,1
OV o COADREAD,0.01,100000,lower_bound,0.3,0.652,0.951,0.824,1
OV o COADREAD,0.01,100000,lower_bound,0.3,0.642,0.931,0.873,1
OV o COADREAD,0.01,100000,lower_bound,0.4,0.253,0.402,0.912,0
OV o COADREAD,0.01,100000,lower_bound,0.4,0.254,0.353,0.853,0
OV o COADREAD,0.01,100000,lower_bound,0.4,0.254,0.373,0.882,0
OV o COADREAD,0.01,100000,curious,0.01,14.47,0.912,0.824,1
OV o COADREAD,0.01,100000,curious,0.01,14.423,0.931,0.814,1
OV o COADREAD,0.01,100000,curious,0.01,15.666,0.941,0.873,1
OV o COADREAD,0.01,100000,curious,0.1,2.138,0.902,0.892,1
OV o COADREAD,0.01,100000,curious,0.1,6.011,0.931,0.873,1
OV o COADREAD,0.01,100000,curious,0.1,0.71,0.951,0.873,1
OV o COADREAD,0.01,100000,curious,0.3,0.857,0.931,0.892,1
OV o COADREAD,0.01,100000,curious,0.3,0.857,0.892,0.882,1
OV o COADREAD,0.01,100000,curious,0.3,0.876,0.951,0.873,1
OV o COADREAD,0.01,100000,curious,0.4,0.252,0.333,0.873,0
OV o COADREAD,0.01,100000,curious,0.4,0.256,0.412,0.833,0
OV o COADREAD,0.01,100000,curious,0.4,0.254,0.373,0.873,0
OV o COADREAD,0.01,100000,bfs,0.01,14.74,0.922,0.892,1
OV o COADREAD,0.01,100000,bfs,0.01,15.011,0.912,0.892,1
OV o COADREAD,0.01,100000,bfs,0.01,14.807,0.961,0.814,1
OV o COADREAD,0.01,100000,bfs,0.1,0.661,0.951,0.931,1
OV o COADREAD,0.01,100000,bfs,0.1,0.682,0.922,0.902,1
OV o COADREAD,0.01,100000,bfs,0.1,0.681,0.941,0.892,1
OV o COADREAD,0.01,100000,bfs,0.3,0.661,0.941,0.843,1
OV o COADREAD,0.01,100000,bfs,0.3,0.67,0.892,0.892,2
OV o COADREAD,0.01,100000,bfs,0.3,0.668,0.961,0.863,1
OV o COADREAD,0.01,100000,bfs,0.4,0.254,0.373,0.873,0
OV o COADREAD,0.01,100000,bfs,0.4,0.255,0.402,0.892,0
OV o COADREAD,0.01,100000,bfs,0.4,0.256,0.382,0.902,0
OV o COADREAD,0.01,1000000,objective,0.01,30.06,0.941,0.843,1
OV o COADREAD,0.01,1000000,objective,0.01,34.63,0.951,0.853,1
OV o COADREAD,0.01,1000000,objective,0.01,36.402,0.951,0.892,1
OV o COADREAD,0.01,1000000,objective,0.1,7.861,0.922,0.863,1
OV o COADREAD,0.01,1000000,objective,0.1,3.802,0.971,0.912,1
OV o COADREAD,0.01,1000000,objective,0.1,3.943,0.951,0.873,1
OV o COADREAD,0.01,1000000,objective,0.3,94.645,0.922,0.853,1
OV o COADREAD,0.01,1000000,objective,0.3,138.789,0.912,0.892,1
OV o COADREAD,0.01,1000000,objective,0.3,104.605,0.971,0.833,1
OV o COADREAD,0.01,1000000,objective,0.4,0.249,0.353,0.902,0
OV o COADREAD,0.01,1000000,objective,0.4,0.25,0.333,0.873,0
OV o COADREAD,0.01,1000000,objective,0.4,0.252,0.422,0.873,0
OV o COADREAD,0.01,1000000,lower_bound,0.01,33.704,0.931,0.902,1
OV o COADREAD,0.01,1000000,lower_bound,0.01,34.381,0.931,0.863,1
OV o COADREAD,0.01,1000000,lower_bound,0.01,34.082,0.902,0.873,1
OV o COADREAD,0.01,1000000,lower_bound,0.1,3.42,0.922,0.873,1
OV o COADREAD,0.01,1000000,lower_bound,0.1,3.362,0.971,0.922,1
OV o COADREAD,0.01,1000000,lower_bound,0.1,3.676,0.931,0.892,1
OV o COADREAD,0.01,1000000,lower_bound,0.3,127.791,0.922,0.882,1
OV o COADREAD,0.01,1000000,lower_bound,0.3,151.156,0.951,0.892,1
OV o COADREAD,0.01,1000000,lower_bound,0.3,165.373,0.912,0.873,1
OV o COADREAD,0.01,1000000,lower_bound,0.4,0.247,0.382,0.941,0
OV o COADREAD,0.01,1000000,lower_bound,0.4,0.25,0.343,0.892,0
OV o COADREAD,0.01,1000000,lower_bound,0.4,0.249,0.333,0.833,0
OV o COADREAD,0.01,1000000,curious,0.01,37.593,0.961,0.912,1
OV o COADREAD,0.01,1000000,curious,0.01,38.482,0.931,0.922,1
OV o COADREAD,0.01,1000000,curious,0.01,35.451,0.941,0.912,1
OV o COADREAD,0.01,1000000,curious,0.1,58.893,0.951,0.922,1
OV o COADREAD,0.01,1000000,curious,0.1,4.206,0.922,0.824,1
OV o COADREAD,0.01,1000000,curious,0.1,137.365,0.951,0.922,1
OV o COADREAD,0.01,1000000,curious,0.3,131.21,0.931,0.922,1
OV o COADREAD,0.01,1000000,curious,0.3,136.128,0.941,0.853,1
OV o COADREAD,0.01,1000000,curious,0.3,168.137,0.951,0.912,1
OV o COADREAD,0.01,1000000,curious,0.4,0.251,0.461,0.873,0
OV o COADREAD,0.01,1000000,curious,0.4,0.251,0.912,0.931,0
OV o COADREAD,0.01,1000000,curious,0.4,0.251,0.265,0.873,0
OV o COADREAD,0.01,1000000,bfs,0.01,38.715,0.912,0.833,1
OV o COADREAD,0.01,1000000,bfs,0.01,37.568,0.902,0.873,1
OV o COADREAD,0.01,1000000,bfs,0.01,38.393,0.902,0.922,0
OV o COADREAD,0.01,1000000,bfs,0.1,3.65,0.931,0.863,1
OV o COADREAD,0.01,1000000,bfs,0.1,3.792,0.892,0.892,2
OV o COADREAD,0.01,1000000,bfs,0.1,3.808,0.951,0.882,1
OV o COADREAD,0.01,1000000,bfs,0.3,132.809,0.951,0.892,1
OV o COADREAD,0.01,1000000,bfs,0.3,138.906,0.951,0.902,1
OV o COADREAD,0.01,1000000,bfs,0.3,143.51,0.951,0.853,1
OV o COADREAD,0.01,1000000,bfs,0.4,0.249,0.373,0.902,0
OV o COADREAD,0.01,1000000,bfs,0.4,0.247,0.48,0.882,0
OV o COADREAD,0.01,1000000,bfs,0.4,0.25,0.304,0.892,0
OV o COADREAD,0.01,10000000,objective,0.01,234.9,0.961,0.931,1
OV o COADREAD,0.01,10000000,objective,0.01,242.469,0.971,0.882,1
OV o COADREAD,0.01,10000000,objective,0.01,238.506,0.961,0.902,1
OV o COADREAD,0.01,10000000,objective,0.3,96.903,0.951,0.882,1
OV o COADREAD,0.01,10000000,objective,0.3,118.046,0.961,0.873,1
OV o COADREAD,0.01,10000000,objective,0.3,138.387,0.98,0.853,1
OV o COADREAD,0.01,10000000,objective,0.4,0.249,0.48,0.863,0
OV o COADREAD,0.01,10000000,objective,0.4,0.248,0.431,0.941,0
OV o COADREAD,0.01,10000000,objective,0.4,0.249,0.353,0.922,0
OV o COADREAD,0.01,10000000,lower_bound,0.01,210.782,0.941,0.882,1
OV o COADREAD,0.01,10000000,lower_bound,0.01,208.431,0.922,0.853,1
OV o COADREAD,0.01,10000000,lower_bound,0.01,213.237,0.892,0.892,2
OV o COADREAD,0.01,10000000,lower_bound,0.3,101.282,0.931,0.843,1
OV o COADREAD,0.01,10000000,lower_bound,0.3,84.955,0.951,0.843,1
OV o COADREAD,0.01,10000000,lower_bound,0.3,126.851,0.931,0.853,1
OV o COADREAD,0.01,10000000,lower_bound,0.4,0.25,0.422,0.882,0
OV o COADREAD,0.01,10000000,lower_bound,0.4,0.249,0.392,0.853,0
OV o COADREAD,0.01,10000000,lower_bound,0.4,0.249,0.382,0.873,0
OV o COADREAD,0.01,10000000,curious,0.01,205.191,0.912,0.882,1
